ds,predicted_total_posts,predicted_total_posts_lower,predicted_total_posts_upper,actual_total_posts,predicted_vague_ratio,predicted_vague_ratio_lower,predicted_vague_ratio_upper,actual_vague_ratio,total_posts_difference,vague_ratio_difference,period
2020-10-07,136.77576770967335,122.59370704166177,151.34154918629076,86,0.14427586503363143,0.10477581608945703,0.18116058498533713,0.27906976744186046,-50.775767709673346,0.13479390240822903,After NSL
2020-10-08,138.48341363521592,124.99005608319061,152.66423058269876,106,0.1562063366708817,0.11952819125682403,0.19322304571832882,0.27358490566037735,-32.483413635215925,0.11737856898949564,After NSL
2020-10-09,138.67686942749,124.26125071994622,151.94529100993697,93,0.13524525642644739,0.09713624937388242,0.17278900970133673,0.23655913978494625,-45.676869427490004,0.10131388335849886,After NSL
2020-10-10,138.1312245767878,123.56730583829054,151.57464930369704,98,0.13241116808410597,0.09286083716699893,0.17030761460841756,0.22448979591836735,-40.13122457678779,0.09207862783426138,After NSL
2020-10-11,131.09965344237256,115.5050007645498,144.51183662561806,100,0.1404762680437405,0.10316152846319057,0.17648064738832286,0.23,-31.099653442372556,0.08952373195625951,After NSL
2020-10-12,127.47078028120188,113.64066697932618,140.96842299497933,96,0.14316078027060003,0.10542351752524344,0.18116278425612528,0.3020833333333333,-31.470780281201883,0.15892255306273328,After NSL
2020-10-13,131.80888138206103,116.65045422928048,145.4925937592997,92,0.14485862974281402,0.10798335363697505,0.18476133837925995,0.2826086956521739,-39.80888138206103,0.13775006590935987,After NSL
2020-10-14,128.79396017473306,115.72035417994132,142.44746561802862,84,0.147598089261769,0.11005262821176438,0.1862823653864272,0.21428571428571427,-44.79396017473306,0.06668762502394526,After NSL
2020-10-15,131.34476173701364,118.38854199809991,145.87451652825501,107,0.16120267185601148,0.12058656745848995,0.1987369330148741,0.24299065420560748,-24.34476173701364,0.081787982349596,After NSL
2020-10-16,132.57103222594966,119.0339097787642,146.6231703069006,102,0.14178022925868794,0.10371521904687764,0.17840508924561488,0.2549019607843137,-30.571032225949665,0.11312173152562577,After NSL
2020-10-17,133.22064814922655,118.97540860983979,146.13505963870685,84,0.14030374089729822,0.10111870042370964,0.17790574004920592,0.25,-49.22064814922655,0.10969625910270178,After NSL
